"","Position","Track.Name","Artist","Streams","URL","Date","Region","Danceability","Duration","Instrumentalness","Speechiness","Tempo"
"3044051",8,"Human","Rag'n'Bone Man",254291,"58zsLZPvfflaiIbNWoA22O","2017-01-09","gb",NA,NA,NA,NA,NA
"3044052",9,"You Don't Know Me - Radio Edit","Jax Jones",254218,"00lNx0OcTJrS3MKHcB80HY","2017-01-09","gb",NA,NA,NA,NA,NA
"3044053",10,"Starboy","The Weeknd",253978,"5aAx2yezTd8zXrkmtKl66Z","2017-01-09","gb",NA,NA,NA,NA,NA
"3044054",11,"Call On Me - Ryan Riback Extended Remix","Starley",242445,"78rIJddV4X0HkNAInEcYde","2017-01-09","gb",NA,NA,NA,NA,NA
"3044055",12,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",231582,"3NdDpSvN911VPGivFlV5d0","2017-01-09","gb",NA,NA,NA,NA,NA
"3044056",13,"Sexual","NEIKED",227270,"3AsAuGTaDQzavZZThyYlop","2017-01-09","gb",NA,NA,NA,NA,NA
"3044057",14,"I Feel It Coming","The Weeknd",217366,"5GXAXm5YOmYT0kL5jHvYBt","2017-01-09","gb",NA,NA,NA,NA,NA
"3044058",15,"Don't Wanna Know","Maroon 5",216184,"5MFzQMkrl1FOOng9tq6R9r","2017-01-09","gb",NA,NA,NA,NA,NA
"3044059",16,"All Night","The Vamps",202961,"1yNyoWWWikbLhwIGWjZuDW","2017-01-09","gb",NA,NA,NA,NA,NA
"3044060",17,"Fake Love","Drake",197572,"343YBumqHu19cGoGARUTsd","2017-01-09","gb",NA,NA,NA,NA,NA
"3044061",18,"The Mack","Nevada",189164,"7aV2mflaASUmGhCErm7kBO","2017-01-09","gb",NA,NA,NA,NA,NA
"3044062",19,"Closer","The Chainsmokers",187121,"7BKLCZ1jbUBVqRi2FVlTVw","2017-01-09","gb",NA,NA,NA,NA,NA
"3044063",20,"By Your Side","Jonas Blue",185263,"1D3ODoXHBLpdxolZRHWV1j","2017-01-09","gb",NA,NA,NA,NA,NA
"3044064",21,"24K Magic","Bruno Mars",183438,"6b8Be6ljOzmkOmFslEb23P","2017-01-09","gb",NA,NA,NA,NA,NA
"3044065",22,"Black Beatles","Rae Sremmurd",182996,"6fujklziTHa8uoM5OQSfIo","2017-01-09","gb",NA,NA,NA,NA,NA
"3044066",23,"September Song","JP Cooper",179711,"0FuTx2s3YH1ppmtiM6l0zI","2017-01-09","gb",NA,NA,NA,NA,NA
"3044067",24,"Shout Out to My Ex","Little Mix",160582,"0YHUITU3w6ws1v8ehT264g","2017-01-09","gb",NA,NA,NA,NA,NA
"3044068",25,"Water Under the Bridge","Adele",159132,"4vb4mFvYsr2h6enhjJsq9Y","2017-01-09","gb",NA,NA,NA,NA,NA
"3044069",26,"You Want Me","Tom Zanetti",157153,"4xX7OsX8XTGWJgRxNNIaFT","2017-01-09","gb",NA,NA,NA,NA,NA
"3044070",27,"Now and Later","Sage The Gemini",155461,"43jBqV3j3Xi1g6wO0bhIMd","2017-01-09","gb",NA,NA,NA,NA,NA
"3044071",28,"Shed a Light","Robin Schulz",155178,"1cG0umU5TKStygKsPFZ9pY","2017-01-09","gb",NA,NA,NA,NA,NA
"3044072",29,"One Dance","Drake",154360,"1xznGGDReH1oQq0xzbwXa3","2017-01-09","gb",NA,NA,NA,NA,NA
"3044073",30,"Love Me Now","John Legend",151605,"6nxQdXa1uAL0rY72wPZu89","2017-01-09","gb",NA,NA,NA,NA,NA
"3044074",31,"Photograph","Ed Sheeran",151017,"6fxVffaTuwjgEk5h9QyRjy","2017-01-09","gb",NA,NA,NA,NA,NA
"3044075",32,"The Greatest","Sia",146163,"7xHWNBFm6ObGEQPaUxHuKO","2017-01-09","gb",NA,NA,NA,NA,NA
"3044076",33,"Side To Side","Ariana Grande",142127,"4pLwZjInHj3SimIyN9SnOz","2017-01-09","gb",NA,NA,NA,NA,NA
